Numéro séquentiel,Nature des dommages,Type d'usager,Type de véhicule,Marque,Modèle,Cylindré,Année de fabrication
3418,Graves,Cycliste,Véhicule léger non précisé,,,,
3418,Graves,Cycliste,Automobile,MAZDA,3,002001,2008
3323,Graves,Cycliste,Camionnette,TOYOT,RAV4,002509,2014
3872,Graves,Cycliste,Camionnette,FORD,RNG,002985,2005
3325,Graves,Cycliste,Automobile,MAZDA,PROTE,002001,2002
2489,Graves,Cycliste,Fourgonnette,DODGE,CARAV,003296,2003
2653,Graves,Cycliste,Véhicule léger non précisé,,,,
2822,Graves,Cycliste,Véhicule léger non précisé,,,,
1055,Graves,Cycliste,Automobile,HYUND,ELANT,001804,2013
1718,Graves,Cycliste,Véhicule léger non précisé,,,,
3425,Graves,Cycliste,Camionnette,FORD,F150,005002,2014
1276,Graves,Cycliste,Automobile,TOYOT,PRIUS,001804,2010
2380,Graves,Cycliste,Camionnette,CHEVR,SILVE,005297,2008
2826,Graves,Cycliste,Véhicule léger non précisé,,,,
1056,Graves,Cycliste,Camionnette,CHEVR,SILVE,004805,2012
3216,Graves,Cycliste,Véhicule léger non précisé,,,,
3216,Graves,Cycliste,Véhicule léger non précisé,,,,
3966,Graves,Cycliste,Automobile,PONTI,GRAND,003395,2002
3131,Graves,Cycliste,Automobile,VOLKS,GOLF,001984,2007
2827,Graves,Cycliste,Automobile,TOYOT,CAMRY,002394,2009
3224,Graves,Cycliste,VUS,NISSA,ROGUE,002509,2013
668,Graves,Cycliste,Camion,FREIG,CASCA,012808,2014
1057,Graves,Cycliste,Automobile,CHRYS,200,003608,2013
2004,Graves,Cycliste,Véhicule léger non précisé,,,,
4237,Graves,Cycliste,Automobile,TOYOT,ECHO,001492,2002
3,Graves,Cycliste,Véhicule léger non précisé,,,,
3098,Graves,Cycliste,VUS,TOYOT,VENZA,002689,2010
2831,Graves,Cycliste,Automobile,KIA,FORTE,001804,2014
545,Graves,Cycliste,Automobile,TOYOT,ECHO,001492,2005
